text,type
"This text is part of the internal format of your mail folder, and is not
a real message.  It is created automatically by the mail system software.
If deleted, important folder data will be lost, and it will be re-created
with the data reset to initial values.

",pishing
"[<email.message.Message object at 0x000001E33AF9BAA0>, <email.message.Message object at 0x000001E33AF9A0C0>]",pishing
"[<email.message.Message object at 0x000001E33AF9BBF0>, <email.message.Message object at 0x000001E33AF9A510>]",pishing
"[<email.message.Message object at 0x000001E33AF9B800>, <email.message.Message object at 0x000001E33AF9A0C0>]",pishing
"Password will expire in 3 days. Click Here<http://www.electro-univers.ro/d6=
55@dd/> To Validate E-mail

Thank you,
=A9 2014 Microsoft

",pishing
"[<email.message.Message object at 0x000001E33AF9B8F0>, <email.message.Message object at 0x000001E33AF9BA70>]",pishing
"[<email.message.Message object at 0x000001E33AF9B920>, <email.message.Message object at 0x000001E33AF9BB90>]",pishing
"IT-Service Help Desk

Please Click Here<http://unt5.jimdo.com/> To Validate E-mail Password

Thank you,
=A9 2010 Microsoft

",pishing
"[<email.message.Message object at 0x000001E33AF9B110>, <email.message.Message object at 0x000001E33AF9BD10>]",pishing
"[<email.message.Message object at 0x000001E33AF9BD40>, <email.message.Message object at 0x000001E33AF9B410>]",pishing
"[<email.message.Message object at 0x000001E33AF9A060>, <email.message.Message object at 0x000001E33AF9B8C0>]",pishing
"[<email.message.Message object at 0x000001E33AF9B5C0>, <email.message.Message object at 0x000001E33AF9B050>]",pishing
"[<email.message.Message object at 0x000001E33AF9BD40>, <email.message.Message object at 0x000001E33AF9BA70>]",pishing
"[<email.message.Message object at 0x000001E33AF9A060>, <email.message.Message object at 0x000001E33AF9B9E0>]",pishing
"[<email.message.Message object at 0x000001E33AF9BE30>, <email.message.Message object at 0x000001E33AF9B350>]",pishing
"[<email.message.Message object at 0x000001E33AF9BA70>, <email.message.Message object at 0x000001E33AF9B770>]",pishing
"[<email.message.Message object at 0x000001E33AFD47A0>, <email.message.Message object at 0x000001E33AF9BCE0>]",pishing
"[<email.message.Message object at 0x000001E33AF9BAA0>, <email.message.Message object at 0x000001E33AF9B740>]",pishing
